Rodada,GS1T,GF1T,GS2T,GF2T,Casa,PosseFla,FinaTotal,CAFla,CVFla,FinaAdvTotal,CAAdv,CVAdv
2020-R28,0,1,2,0,1,74,7,0,0,5,0,0
2020-R27,0,0,0,0,0,61,4,1,0,6,2,0
2020-R26,0,2,3,2,1,50,8,0,1,8,1,0
2020-R25,0,1,1,3,1,64,6,0,0,3,1,0
2020-R24,0,0,0,1,0,71,9,0,0,7,1,0
2020-R23,1,0,1,4,0,50,6,1,0,5,1,0
2020-R22,0,2,1,1,1,63,12,1,0,4,1,0
2020-R21,0,1,1,0,1,66,7,1,0,5,0,0
2020-R20,2,0,2,0,0,69,5,2,0,3,2,0
2020-R19,2,1,2,0,1,51,7,2,0,7,2,0
2020-R18,2,1,0,1,0,67,4,3,0,8,2,0
2020-R17,0,1,1,4,0,62,5,2,0,8,2,0
2020-R16,0,0,1,1,1,64,7,1,0,6,1,0
2020-R15,1,0,0,2,0,66,5,1,0,3,1,0
2020-R14,0,0,0,3,1,60,8,0,0,6,1,0
2020-R13,0,0,1,3,1,56,5,2,0,9,1,0
2020-R12,0,0,1,1,0,42,5,1,0,6,2,0
2020-R11,1,1,0,1,1,67,16,0,0,2,3,0
2020-R10,0,0,2,0,1,63,8,0,0,4,1,0
2020-R09,0,2,1,0,0,53,6,1,0,4,1,0
2020-R08,1,1,0,1,1,60,13,1,0,4,0,0
2020-R07,2,3,1,2,0,53,13,0,0,6,0,0
2020-R06,0,1,0,0,0,46,7,3,0,11,2,0
2020-R05,0,0,1,1,1,70,8,1,0,2,0,0
2020-R04,1,0,0,1,1,57,3,2,0,6,1,0
2020-R03,0,1,0,0,0,65,10,0,0,3,2,0
2020-R02,2,0,1,0,0,66,2,0,0,8,0,0
2020-R01,1,0,0,0,1,65,11,0,0,5,1,0
24-LI-J1,0,0,1,1,0,49,3,0,0,13,1,0
24-LI-J2,0,1,0,1,1,75,12,0,0,1,1,0
24-LI-J3,1,1,1,0,0,69,7,0,0,14,0,0
24-LI-J4,0,0,1,0,0,58,9,0,0,5,0,0
24-LI-J5,0,3,0,1,1,55,12,0,0,7,1,0
24-LI-J6,0,3,0,0,1,64,6,0,0,2,0,0
24-LI-OIT1,0,1,0,1,1,61,10,0,0,4,1,0
24-LI-OIT2,0,0,1,0,0,28,2,1,0,11,0,0
24-LI-QUA1,1,0,0,0,0,79,6,1,0,6,2,0
